"x","y","orientation","v","w"
0.0242475,2.27945e-05,,,
0.0230234,2.09314e-05,,,
0.0244354,2.22946e-05,,,
0.023768,3.39465e-05,,,
0.0238341,2.11231e-05,,,
0.0239289,3.01236e-05,,,
0.024228,2.93774e-05,,,
0.0243549,3.17378e-05,,,
0.0245478,2.99503e-05,,,
0.0226465,1.70865e-05,,,
0.0234953,1.47713e-05,,,
0.022159,2.65351e-05,,,
0.0245149,2.57253e-05,,,
0.0233212,1.56296e-05,,,
0.0246746,3.52256e-05,,,
0.0246468,3.09169e-05,,,
